init_lr,lr_decay,decay_k,weight_init,epochs,data,val_accuracy
0.05,exponential,0.25,he-normal,50,min-max,0.8730456535334584
0.05,exponential,0.25,he-normal,75,z-score,0.9618511569731082
0.05,exponential,0.25,he-normal,75,min-max,0.6904315196998124
0.05,exponential,0.25,he-uniform,25,z-score,0.9549718574108818
0.05,exponential,0.25,he-uniform,25,min-max,0.8136335209505942
0.05,exponential,0.25,he-uniform,50,z-score,0.9405878674171357
0.05,exponential,0.25,he-uniform,50,min-max,0.8048780487804879
0.05,exponential,0.25,he-uniform,75,z-score,0.9524702939337085
0.05,exponential,0.25,he-uniform,75,min-max,0.7329580988117573
0.05,exponential,0.125,he-normal,25,z-score,0.9681050656660413
0.05,exponential,0.125,he-normal,25,min-max,0.792995622263915
0.05,exponential,0.125,he-normal,50,z-score,0.9706066291432145
0.05,exponential,0.125,he-normal,50,min-max,0.817385866166354
0.05,exponential,0.125,he-normal,75,z-score,0.9693558474046279
0.05,exponential,0.125,he-normal,75,min-max,0.9018136335209506
0.05,exponential,0.125,he-uniform,25,z-score,0.9668542839274546
0.05,exponential,0.125,he-uniform,25,min-max,0.9312070043777361
0.05,exponential,0.125,he-uniform,50,z-score,0.9681050656660413
0.05,exponential,0.125,he-uniform,50,min-max,0.9024390243902439
0.05,exponential,0.125,he-uniform,75,z-score,0.9612257661038149
0.05,exponential,0.125,he-uniform,75,min-max,0.9405878674171357
0.05,step,0.5,he-normal,25,z-score,0.9668542839274546
0.05,step,0.5,he-normal,25,min-max,0.868042526579112
0.05,step,0.5,he-normal,50,z-score,0.9712320200125079
0.05,step,0.5,he-normal,50,min-max,0.9243277048155097
0.05,step,0.5,he-normal,75,z-score,0.9737335834896811
0.05,step,0.5,he-normal,75,min-max,0.9355847404627893
0.05,step,0.5,he-uniform,25,z-score,0.9737335834896811
0.05,step,0.5,he-uniform,25,min-max,0.9130706691682301
0.05,step,0.5,he-uniform,50,z-score,0.967479674796748
0.05,step,0.5,he-uniform,50,min-max,0.9105691056910569
0.05,step,0.5,he-uniform,75,z-score,0.9768605378361476
0.05,step,0.5,he-uniform,75,min-max,0.9305816135084428
0.05,step,0.25,he-normal,25,z-score,0.9293308317698562
0.05,step,0.25,he-normal,25,min-max,0.5947467166979362
0.05,step,0.25,he-normal,50,z-score,0.9437148217636022
0.05,step,0.25,he-normal,50,min-max,0.6185115697310819
0.05,step,0.25,he-normal,75,z-score,0.9193245778611632
0.05,step,0.25,he-normal,75,min-max,0.7367104440275172
0.05,step,0.25,he-uniform,25,z-score,0.9487179487179487
0.05,step,0.25,he-uniform,25,min-max,0.726078799249531
0.05,step,0.25,he-uniform,50,z-score,0.9437148217636022
0.05,step,0.25,he-uniform,50,min-max,0.6754221388367729
0.05,step,0.25,he-uniform,75,z-score,0.9393370856785491
0.05,step,0.25,he-uniform,75,min-max,0.7379612257661038
0.05,step,0.125,he-normal,25,z-score,0.8861788617886179
0.05,step,0.125,he-normal,25,min-max,0.6372732958098811
0.05,step,0.125,he-normal,50,z-score,0.7998749218261413
0.05,step,0.125,he-normal,50,min-max,0.5284552845528455
0.05,step,0.125,he-normal,75,z-score,0.8123827392120075
0.05,step,0.125,he-normal,75,min-max,0.6541588492808005
0.05,step,0.125,he-uniform,25,z-score,0.8755472170106317
0.05,step,0.125,he-uniform,25,min-max,0.6353971232020013
0.05,step,0.125,he-uniform,50,z-score,0.8286429018136335
0.05,step,0.125,he-uniform,50,min-max,0.5853658536585366
0.05,step,0.125,he-uniform,75,z-score,0.8605378361475923
0.05,step,0.125,he-uniform,75,min-max,0.6278924327704816
0.025,exponential,0.5,he-normal,25,z-score,0.8292682926829268
0.025,exponential,0.5,he-normal,25,min-max,0.5722326454033771
0.025,exponential,0.5,he-normal,50,z-score,0.8986866791744841
0.025,exponential,0.5,he-normal,50,min-max,0.5716072545340838
0.025,exponential,0.5,he-normal,75,z-score,0.8317698561601
0.025,exponential,0.5,he-normal,75,min-max,0.632895559724828
0.025,exponential,0.5,he-uniform,25,z-score,0.8367729831144465
0.025,exponential,0.5,he-uniform,25,min-max,0.5722326454033771
0.025,exponential,0.5,he-uniform,50,z-score,0.8530331457160726
0.025,exponential,0.5,he-uniform,50,min-max,0.5928705440900562
0.025,exponential,0.5,he-uniform,75,z-score,0.8836772983114447
0.025,exponential,0.5,he-uniform,75,min-max,0.6285178236397748
0.025,exponential,0.25,he-normal,25,z-score,0.9130706691682301
0.025,exponential,0.25,he-normal,25,min-max,0.5528455284552846
0.025,exponential,0.25,he-normal,50,z-score,0.9387116948092558
0.025,exponential,0.25,he-normal,50,min-max,0.5984990619136961
0.025,exponential,0.25,he-normal,75,z-score,0.8786741713570981
0.025,exponential,0.25,he-normal,75,min-max,0.6479049405878674
0.025,exponential,0.25,he-uniform,25,z-score,0.9018136335209506
0.025,exponential,0.25,he-uniform,25,min-max,0.6604127579737336
0.025,exponential,0.25,he-uniform,50,z-score,0.8868042526579112
0.025,exponential,0.25,he-uniform,50,min-max,0.6929330831769857
0.025,exponential,0.25,he-uniform,75,z-score,0.9455909943714822
0.025,exponential,0.25,he-uniform,75,min-max,0.6516572858036273
0.025,exponential,0.125,he-normal,25,z-score,0.9462163852407754
0.025,exponential,0.125,he-normal,25,min-max,0.6891807379612258
0.025,exponential,0.125,he-normal,50,z-score,0.9293308317698562
0.025,exponential,0.125,he-normal,50,min-max,0.7004377736085053
0.025,exponential,0.125,he-normal,75,z-score,0.9399624765478424
0.025,exponential,0.125,he-normal,75,min-max,0.7917448405253283
0.025,exponential,0.125,he-uniform,25,z-score,0.9543464665415885
0.025,exponential,0.125,he-uniform,25,min-max,0.5797373358348968
0.025,exponential,0.125,he-uniform,50,z-score,0.957473420888055
0.025,exponential,0.125,he-uniform,50,min-max,0.874296435272045
0.025,exponential,0.125,he-uniform,75,z-score,0.9549718574108818
0.025,exponential,0.125,he-uniform,75,min-max,0.8080050031269543
0.025,step,0.5,he-normal,25,z-score,0.9437148217636022
0.025,step,0.5,he-normal,25,min-max,0.5872420262664165
0.025,step,0.5,he-normal,50,z-score,0.9305816135084428
0.025,step,0.5,he-normal,50,min-max,0.782989368355222
0.025,step,0.5,he-normal,75,z-score,0.959349593495935
0.025,step,0.5,he-normal,75,min-max,0.8098811757348343
0.025,step,0.5,he-uniform,25,z-score,0.9624765478424016
0.025,step,0.5,he-uniform,25,min-max,0.7041901188242652
0.025,step,0.5,he-uniform,50,z-score,0.949343339587242
0.025,step,0.5,he-uniform,50,min-max,0.7804878048780488
0.025,step,0.5,he-uniform,75,z-score,0.9505941213258287
0.025,step,0.5,he-uniform,75,min-max,0.801125703564728
0.025,step,0.25,he-normal,25,z-score,0.9149468417761101
0.025,step,0.25,he-normal,25,min-max,0.6016260162601627
0.025,step,0.25,he-normal,50,z-score,0.8549093183239524
0.025,step,0.25,he-normal,50,min-max,0.6222639149468417
0.025,step,0.25,he-normal,75,z-score,0.841776110068793
0.025,step,0.25,he-normal,75,min-max,0.5684803001876173
0.025,step,0.25,he-uniform,25,z-score,0.7642276422764228
0.025,step,0.25,he-uniform,25,min-max,0.6066291432145091
0.025,step,0.25,he-uniform,50,z-score,0.8767979987492183
0.025,step,0.25,he-uniform,50,min-max,0.5853658536585366
0.025,step,0.25,he-uniform,75,z-score,0.8667917448405253
0.025,step,0.25,he-uniform,75,min-max,0.6810506566604128
0.025,step,0.125,he-normal,25,z-score,0.8073796122576611
0.025,step,0.125,he-normal,25,min-max,0.5403377110694184
0.025,step,0.125,he-normal,50,z-score,0.766729205753596
0.025,step,0.125,he-normal,50,min-max,0.5478424015009381
0.025,step,0.125,he-normal,75,z-score,0.7217010631644778
0.025,step,0.125,he-normal,75,min-max,0.5228267667292058
0.025,step,0.125,he-uniform,25,z-score,0.7554721701063164
0.025,step,0.125,he-uniform,25,min-max,0.5078173858661663
0.025,step,0.125,he-uniform,50,z-score,0.7904940587867417
0.025,step,0.125,he-uniform,50,min-max,0.6460287679799875
0.025,step,0.125,he-uniform,75,z-score,0.7510944340212633
0.025,step,0.125,he-uniform,75,min-max,0.600375234521576
